Coral,species,treat,pH,Date,Set,time,timeb,water,delTA,nmol,normrate,gvc
cav1,M,8.2pHc,8.2,1/6/14,F,0,0a,8.25,18.54,332.31,100,8.76
cav1,M,7.9pH,7.9,1/6/14,F,1,1a,7.92,15.89,284.69,85.67,8.68
cav1,M,7.9pH,7.9,1/7/14,F,15,15a,7.92,12.12,217.15,65.35,8.77
cav1,M,8.2pHc,8.2,1/7/14,G,0,0a,8.2,13.07,234.21,100,8.85
cav1,M,7.6pH,7.6,1/7/14,G,1,1a,7.66,10.8,193.57,82.65,8.69
cav1,M,7.6pH,7.6,1/8/14,G,15,15a,7.64,9.39,168.32,71.87,8.71
cav1,M,8.2pHc,8.2,1/8/14,H,0,0a,8.265,9.38,168.13,100,9.01
cav1,M,8.2pH,8.2,1/8/14,H,1,1a,8.25,8.9,159.46,94.85,8.77
cav1,M,8.2pH,8.2,1/9/14,H,15,15a,8.225,12.25,219.58,130.6,8.7
cav1,M,8.2pHc,8.2,1/9/14,I,0,0a,8.25,11.34,203.17,100,8.68
cav1,M,7.9pH,7.9,1/9/14,I,1,1a,7.915,10.51,188.26,92.66,8.58
cav1,M,7.9pH,7.9,1/10/14,I,15,15a,7.96,3.01,53.94,26.55,8.44
cav1,M,8.2pHc,8.2,1/10/14,Y,0,0a,8.2,5.7,102.54,100,8.69
cav1,M,7.6pH,7.6,1/10/14,Y,1,1a,7.6,4,71.96,70.18,8.5
cav1,M,7.6pH,7.6,1/11/14,Y,15,15a,7.6,9,161.72,157.71,8.58
cav1,M,8.2pHc,8.2,2/10/14,K,0,0a,8.27,12.11,217.07,100,8.68
cav1,M,7.6pH,7.6,2/10/14,K,1,1a,7.65,10.04,179.91,82.88,8.63
cav1,M,7.6pH,7.6,2/11/14,K,15,15a,7.645,10.72,192.19,88.54,8.66
cav1,M,8.2pHc,8.2,2/21/14,L,0,0a,8.2,11.02,197.5,100,8.53
cav1,M,8.2pH,8.2,2/21/14,L,1,1a,8.2,11.8,211.52,107.1,8.77
cav1,M,8.2pH,8.2,2/22/14,L,15,15a,8.2,15.09,270.44,136.93,8.643
cav2,M,8.2pH,8.2,6/25/14,A,1,1b,8.2,23.81,168.89,74.49,8.47
cav2,M,8.2pHc,8.2,6/25/14,A,0,0b,8.2,31.97,226.73,100,8.48
cav2,M,8.2pH,8.2,6/26/14,A,15,15b,8.16,38.26,271.38,119.69,8.4
cav2,M,7.9pH,7.9,6/26/14,B,1,1b,7.98,25.72,182.44,83.12,8.35
cav2,M,8.2pHc,8.2,6/26/14,B,0,0b,8.29,30.95,219.49,100,8.51
cav2,M,7.9pH,7.9,6/27/14,B,15,15b,7.98,38.42,272.49,124.15,8.25
