Time,time(h),time(min),umol/L,o2sat,light
23-07-2013 14:36:47,0.571515,0,859.765,429.67,l
23-07-2013 14:36:52,0.572902,0.08322,859.746,429.66,l
23-07-2013 14:36:57,0.574294,0.16674,858.304,428.94,d
23-07-2013 14:37:02,0.575684,0.25014,848.892,424.23,d
23-07-2013 14:37:07,0.577077,0.33372,821.424,410.51,d
23-07-2013 14:37:12,0.578467,0.41712,801.161,400.38,d
23-07-2013 14:37:17,0.579857,0.50052,776.943,388.28,d
23-07-2013 14:37:22,0.581248,0.58398,751.585,375.60,d
23-07-2013 14:37:27,0.582639,0.66744,723.296,361.47,d
23-07-2013 14:37:32,0.58403,0.7509,692.73,346.19,d
23-07-2013 14:37:37,0.585421,0.83436,662.892,331.28,d
23-07-2013 14:37:42,0.586812,0.91782,634.476,317.08,d
23-07-2013 14:37:47,0.588204,1.00134,608.285,303.99,d
23-07-2013 14:37:52,0.589594,1.08474,583.961,291.83,d
23-07-2013 14:37:57,0.590986,1.16826,561.25,280.48,d
23-07-2013 14:38:02,0.592377,1.25172,540.29,270.01,d
23-07-2013 14:38:07,0.593767,1.33512,521.955,260.85,d
23-07-2013 14:38:12,0.595158,1.41858,505.504,252.63,d
23-07-2013 14:38:17,0.596551,1.50216,491.231,245.49,d
23-07-2013 14:38:22,0.59794,1.5855,478.165,238.96,d
23-07-2013 14:38:27,0.599333,1.66908,465.805,232.79,d
23-07-2013 14:38:32,0.600723,1.75248,454.674,227.22,d
23-07-2013 14:38:37,0.602113,1.83588,445.005,222.39,d
23-07-2013 14:38:42,0.603504,1.91934,435.505,217.64,d
23-07-2013 14:38:47,0.604897,2.00292,426.503,213.14,d
23-07-2013 14:38:52,0.606287,2.08632,418.193,208.99,d
23-07-2013 14:38:57,0.607677,2.16972,409.637,204.72,d
23-07-2013 14:39:02,0.609068,2.25318,402.037,200.92,d
23-07-2013 14:39:07,0.61046,2.3367,394.941,197.37,d
23-07-2013 14:39:12,0.611851,2.42016,387.971,193.89,d
23-07-2013 14:39:17,0.613241,2.50356,380.682,190.25,d
23-07-2013 14:39:22,0.614633,2.58708,373.092,186.45,d
23-07-2013 14:39:27,0.616024,2.67054,365.2,182.51,d
23-07-2013 14:39:32,0.617414,2.75394,357.642,178.73,d
23-07-2013 14:39:37,0.618806,2.83746,350.504,175.16,d
23-07-2013 14:39:42,0.620197,2.92092,344.067,171.95,d
23-07-2013 14:39:47,0.621588,3.00438,338.124,168.98,d
23-07-2013 14:39:52,0.62298,3.0879,332.667,166.25,d
23-07-2013 14:39:57,0.624369,3.17124,325.553,162.70,d
23-07-2013 14:40:02,0.625761,3.25476,318.18,159.01,d
23-07-2013 14:40:07,0.627151,3.33816,312.554,156.20,d
23-07-2013 14:40:12,0.628542,3.42162,307.753,153.80,d
23-07-2013 14:40:17,0.629934,3.50514,303.942,151.90,d
23-07-2013 14:40:22,0.631324,3.58854,300.053,149.95,d
23-07-2013 14:40:27,0.632716,3.67206,296.789,148.32,d
23-07-2013 14:40:32,0.634107,3.75552,293.04,146.45,d
23-07-2013 14:40:37,0.635498,3.83898,288.052,143.95,d
23-07-2013 14:40:42,0.636889,3.92244,284.326,142.09,d
23-07-2013 14:40:47,0.638279,4.00584,280.713,140.29,d
23-07-2013 14:40:52,0.639671,4.08936,276.4,138.13,d
23-07-2013 14:40:57,0.641063,4.17288,272.22,136.04,d
23-07-2013 14:41:02,0.642453,4.25628,267.694,133.78,d
23-07-2013 14:41:07,0.643844,4.33974,262.509,131.19,d
23-07-2013 14:41:12,0.645236,4.42326,257.971,128.92,d
23-07-2013 14:41:17,0.646626,4.50666,253.878,126.88,d
23-07-2013 14:41:22,0.648018,4.59018,248.111,123.99,d
23-07-2013 14:41:27,0.649408,4.67358,244.008,121.94,d
23-07-2013 14:41:32,0.6508,4.7571,240.87,120.37,d
23-07-2013 14:41:37,0.65219,4.8405,236.629,118.26,d
23-07-2013 14:41:42,0.653581,4.92396,232.092,115.99,d
23-07-2013 14:41:47,0.654972,5.00742,228.203,114.04,d
23-07-2013 14:41:52,0.656363,5.09088,223.896,111.89,d
23-07-2013 14:41:57,0.657754,5.17434,220.799,110.34,d
23-07-2013 14:42:02,0.659146,5.25786,218.612,109.25,d
23-07-2013 14:42:07,0.660536,5.34126,214.648,107.27,d
23-07-2013 14:42:12,0.661927,5.42472,210.47,105.18,d
23-07-2013 14:42:17,0.663318,5.50818,209.3,104.60,d
23-07-2013 14:42:22,0.664709,5.59164,206.96,103.43,d
23-07-2013 14:42:27,0.666101,5.67516,203.635,101.77,d
23-07-2013 14:42:32,0.667491,5.75856,201.144,100.52,d
23-07-2013 14:42:37,0.668882,5.84202,197.178,98.54,d
23-07-2013 14:42:42,0.670274,5.92554,192.258,96.08,d
23-07-2013 14:42:47,0.671664,6.00894,190.252,95.08,d
23-07-2013 14:42:52,0.673056,6.09246,187.839,93.87,d
23-07-2013 14:42:57,0.674446,6.17586,186.501,93.20,d
23-07-2013 14:43:02,0.675837,6.25932,184.751,92.33,d
23-07-2013 14:43:07,0.677228,6.34278,182.241,91.07,d
23-07-2013 14:43:12,0.67862,6.4263,179.503,89.71,d
23-07-2013 14:43:17,0.68001,6.5097,178.224,89.07,d
23-07-2013 14:43:22,0.681401,6.59316,177.105,88.51,d
23-07-2013 14:43:27,0.682792,6.67662,174.904,87.41,d
23-07-2013 14:43:32,0.684183,6.76008,172.066,85.99,d
23-07-2013 14:43:37,0.685574,6.84354,170.669,85.29,d
23-07-2013 14:43:42,0.686965,6.927,170.48,85.20,d
23-07-2013 14:43:47,0.688357,7.01052,170.058,84.99,d
23-07-2013 14:43:52,0.689749,7.09404,169.078,84.50,d
23-07-2013 14:43:57,0.691138,7.17738,166.884,83.40,d
23-07-2013 14:44:02,0.692529,7.26084,165.023,82.47,d
23-07-2013 14:44:07,0.69392,7.3443,163.697,81.81,d
23-07-2013 14:44:12,0.695312,7.42782,162.999,81.46,d
23-07-2013 14:44:17,0.696702,7.51122,162.888,81.40,d
23-07-2013 14:44:22,0.698094,7.59474,161.099,80.51,d
23-07-2013 14:44:27,0.699484,7.67814,159.063,79.49,d
23-07-2013 14:44:32,0.700876,7.76166,154.308,77.12,d
23-07-2013 14:44:37,0.702266,7.84506,150.959,75.44,d
23-07-2013 14:44:42,0.703658,7.92858,147.396,73.66,d
23-07-2013 14:44:47,0.705049,8.01204,143.797,71.86,d
23-07-2013 14:44:52,0.706441,8.09556,141.523,70.73,d
23-07-2013 14:44:57,0.707831,8.17896,137.722,68.83,d
23-07-2013 14:45:02,0.709222,8.26242,132.795,66.36,d
23-07-2013 14:45:07,0.710613,8.34588,126.95,63.44,d
23-07-2013 14:45:12,0.712005,8.4294,121.212,60.58,d
23-07-2013 14:45:17,0.713394,8.51274,115.263,57.60,d
23-07-2013 14:45:23,0.714786,8.59626,108.128,54.04,d
23-07-2013 14:45:28,0.716177,8.67972,101.064,50.51,d
