date,treat,time,pH,O2_sw,gvc,rate,species
11/13/13,8.2c,0,8.2,136.75,285.29,189.763,M
11/13/13,7.6a,1,7.6,135.1,317.65,167.391,M
11/14/13,7.6b,15,7.6,122.2,418.06,117.81,M
10/12/13,8.2c,0,8.2,124.1,489.76,333.377,M
10/12/13,7.6a,1,7.6,132.15,545.2,225.89,M
11/12/13,7.6b,15,7.6,123.3,429.16,254.751,M
11/22/13,8.2c,0,8.2,130.45,303.92,211.599,M
11/22/13,7.9a,1,7.9,137.7,340.83,211.504,M
11/23/13,7.9b,15,7.9,124.1,362.88,225.688,M
12/12/13,8.2c,0,8.2,119.55,302.9,163.941,M
12/12/13,7.9a,1,7.9,128,396.37,118.997,M
12/13/13,7.9b,15,7.9,126.7,359.45,182.997,M
12/13/13,8.2c,0,8.2,123.8,335.49,195.998,M
12/13/13,8.2a,1,8.2,121.7,322.55,132.224,M
12/14/13,8.2b,15,8.2,121.6,302.38,167.817,M
