time,gvc,water
0,8.54483,8.2
0.0834,8.54602,8.2
0.1668,8.54495,8.2
0.2502,8.54586,8.2
0.3336,8.54561,8.2
0.417,8.54585,8.2
0.5004,8.54347,8.2
0.5832,8.54139,8.2
0.6666,8.54004,8.2
0.75,8.53809,8.2
0.8334,8.53784,8.2
0.9168,8.53674,8.2
1.0002,8.53581,8.2
1.0836,8.53626,8.2
1.167,8.53631,8.2
1.2504,8.53727,8.2
1.3332,8.53843,8.2
1.4166,8.5388,8.2
1.5,8.53899,8.2
1.5834,8.5378,8.2
1.6668,8.53789,8.2
1.7502,8.53559,8.2
1.8336,8.53462,8.2
1.917,8.5323,8.2
2.0004,8.53092,8.2
2.0832,8.52864,8.2
2.1666,8.52905,8.2
2.25,8.52997,8.2
2.3334,8.53144,8.2
2.4168,8.53165,8.2
2.5002,8.53282,8.2
2.5836,8.53326,8.2
2.667,8.53413,8.2
2.7504,8.53474,8.2
2.8332,8.53458,8.2
2.9166,8.53552,8.2
3,8.53579,8.2
3.0834,8.53673,8.2
3.1668,8.53668,8.2
3.2502,8.53636,8.2
3.3336,8.53531,8.2
3.417,8.53451,8.2
3.5004,8.53442,8.2
3.5832,8.53429,8.2
3.6666,8.53406,8.2
3.75,8.53458,8.2
3.8334,8.53644,8.2
3.9168,8.53696,8.2
4.0002,8.53597,8.2
4.0836,8.535,8.2
4.167,8.53439,8.2
4.2504,8.53475,8.2
4.3332,8.53461,8.2
4.4166,8.53595,8.2
4.5,8.53731,8.2
4.5834,8.53773,8.2
4.6668,8.53872,8.2
4.7502,8.53748,8.2
4.8336,8.53635,8.2
4.917,8.53513,8.2
5.0004,8.53371,8.2
5.0832,8.53334,8.2
5.1666,8.53172,8.2
5.25,8.53142,8.2
5.3334,8.5317,8.2
5.4168,8.5311,8.2
5.5002,8.5317,8.2
5.5836,8.53196,8.2
5.667,8.53152,8.2
5.7504,8.5312,8.2
5.8332,8.5314,8.2
5.9166,8.5306,8.2
6,8.5299,8.2
6.0834,8.52951,8.2
6.1668,8.5279,8.2
6.2502,8.52721,8.2
6.3336,8.52685,8.2
6.417,8.52762,8.2
6.5004,8.5292,8.2
6.5832,8.52903,8.2
6.6666,8.52936,8.2
6.75,8.52893,8.2
6.8334,8.52684,8.2
6.9168,8.52609,8.2
7.0002,8.52544,8.2
7.0836,8.52307,8.2
7.167,8.52188,8.2
7.2504,8.5205,8.2
7.3332,8.51973,8.2
7.4166,8.51947,8.2
7.5,8.51895,8.2
7.5834,8.51832,8.2
7.6668,8.51728,8.2
7.7502,8.51786,8.2
7.8336,8.51718,8.2
7.917,8.51693,8.2
8.0004,8.51641,8.2
8.0832,8.51549,8.2
8.1666,8.51584,8.2
8.25,8.51517,8.2
8.3334,8.51398,8.2
8.4168,8.51362,8.2
8.5002,8.51268,8.2
8.5836,8.51216,8.2
8.667,8.51312,8.2
8.7504,8.51203,8.2
