time,gvc,water,water2,light
0,8.2011,8.2,8.2,D
0.0834,8.19943,8.2,8.2,D
0.1668,8.20973,8.2,8.2,D
0.2502,8.21014,8.2,8.2,D
0.3336,8.22313,8.2,8.2,D
0.417,8.22215,8.2,8.2,D
0.5004,8.21523,8.2,8.2,D
0.5832,8.22077,8.2,8.2,D
0.6666,8.22693,8.2,8.2,D
0.75,8.23188,8.2,8.2,D
0.8334,8.22964,8.2,8.2,D
0.9168,8.2399,8.2,8.2,D
1.0002,8.24778,8.2,8.2,D
1.0836,8.24591,8.2,8.2,D
1.167,8.24225,8.2,8.2,D
1.2504,8.24264,8.2,8.2,D
1.3332,8.24711,8.2,8.2,D
1.4166,8.25087,8.2,8.2,D
1.5,8.26085,8.2,8.2,D
1.5834,8.26601,8.2,8.2,D
1.6668,8.25955,8.2,8.2,D
1.7502,8.25649,8.2,8.2,D
1.8336,8.25984,8.2,8.2,D
1.917,8.26276,8.2,8.2,D
2.0004,8.26561,8.2,8.2,D
2.0832,8.26964,8.2,8.2,D
2.1666,8.2767,8.2,8.2,D
2.25,8.28242,8.2,8.2,D
2.3334,8.28658,8.2,8.2,D
2.4168,8.29196,8.2,8.2,D
2.5002,8.29267,8.2,8.2,D
2.5836,8.30104,8.2,8.2,D
2.667,8.30453,8.2,8.2,D
2.7504,8.30264,8.2,8.2,D
2.8332,8.29904,8.2,8.2,D
2.9166,8.29463,8.2,8.2,D
3,8.296,8.2,8.2,D
3.0834,8.28843,8.2,8.2,D
3.1668,8.27727,8.2,8.2,D
3.2502,8.2739,8.2,8.2,D
3.3336,8.26655,8.2,8.2,D
3.417,8.25677,8.2,8.2,D
3.5004,8.2456,8.2,8.2,D
3.5832,8.22602,8.2,8.2,D
3.6666,8.21112,8.2,8.2,D
3.75,8.19908,8.2,8.2,D
3.8334,8.18593,8.2,8.2,D
3.9168,8.17516,8.2,8.2,D
4.0002,8.1653,8.2,8.2,D
4.0836,8.15758,8.2,8.2,D
4.167,8.15122,8.2,8.2,D
4.2504,8.14755,8.2,8.2,D
4.3332,8.14338,8.2,8.2,D
4.4166,8.13833,8.2,8.2,D
4.5,8.12631,8.2,8.2,D
4.5834,8.10255,8.2,8.2,D
4.6668,8.08487,8.2,8.2,D
4.7502,8.06936,8.2,8.2,D
4.8336,8.05857,8.2,8.2,D
4.917,8.05225,8.2,8.2,D
5.0004,8.04679,8.2,8.2,D
5.0832,8.0381,8.2,8.2,D
5.1666,8.03454,8.2,8.2,D
5.25,8.02607,8.2,8.2,D
5.3334,8.01802,8.2,8.2,D
5.4168,8.01163,8.2,8.2,D
5.5002,8.00681,8.2,8.2,D
5.5836,8.00086,8.2,8.2,D
5.667,7.99196,8.2,8.2,D
5.7504,7.9876,8.2,8.2,D
5.8332,7.98144,8.2,8.2,D
5.9166,7.97808,8.2,8.2,D
6,7.9751,8.2,8.2,D
6.0834,7.9765,8.2,8.2,D
6.1668,7.9812,8.2,8.2,D
6.2502,7.9712,8.2,8.2,D
6.3336,7.965,8.2,8.2,D
6.417,7.95903,8.2,8.2,D
6.5004,7.95661,8.2,8.2,D
6.5832,7.95353,8.2,8.2,D
6.6666,7.95135,8.2,8.2,D
6.75,7.94822,8.2,8.2,D
6.8334,7.94531,8.2,8.2,D
6.9168,7.94236,8.2,8.2,D
7.0002,7.94179,8.2,8.2,D
7.0836,7.94149,8.2,8.2,D
7.167,7.94103,8.2,8.2,D
7.2504,7.94367,8.2,8.2,D
7.3332,7.94496,8.2,8.2,D
7.4166,7.94549,8.2,8.2,D
7.5,7.94173,8.2,8.2,D
7.5834,7.94105,8.2,8.2,D
7.6668,7.93645,8.2,8.2,D
7.7502,7.93481,8.2,8.2,D
7.8336,7.92879,8.2,8.2,D
7.917,7.92414,8.2,8.2,D
8.0004,7.9246,8.2,8.2,D
8.0832,7.92094,8.2,8.2,D
8.1666,7.91284,8.2,8.2,D
8.25,7.90892,8.2,8.2,D
8.3334,7.91134,8.2,8.2,D
8.4168,7.91413,8.2,8.2,D
8.5002,7.91471,8.2,8.2,D
8.5836,7.91533,8.2,8.2,D
8.667,7.91479,8.2,8.2,D
8.7504,7.91028,8.2,8.2,D
8.8332,7.90702,8.2,8.2,D
8.9166,7.90609,8.2,8.2,D
9,7.90265,8.2,8.2,D
9.0834,7.89747,8.2,8.2,D
9.1668,7.89269,8.2,8.2,D
9.2502,7.88974,8.2,8.2,D
9.3336,7.88407,8.2,8.2,D
9.417,7.87817,8.2,8.2,D
9.5004,7.87399,8.2,8.2,D
9.5832,7.87015,8.2,8.2,D
9.6666,7.86664,8.2,8.2,D
9.75,7.86125,8.2,8.2,D
9.8334,7.85619,8.2,8.2,D
9.9168,7.85175,8.2,8.2,D
10.0002,7.84492,8.2,8.2,D
10.0836,7.84172,8.2,8.2,D
10.167,7.83356,8.2,8.2,D
10.2504,7.82788,8.2,8.2,D
10.3332,7.82331,8.2,8.2,D
10.4166,7.81911,8.2,8.2,D
10.5,7.81006,8.2,8.2,D
10.5834,7.80103,8.2,8.2,D
10.6668,7.79195,8.2,8.2,D
10.7502,7.78476,8.2,8.2,D
10.8336,7.77849,8.2,8.2,D
10.917,7.77025,8.2,8.2,D
11.0004,7.7627,8.2,8.2,D
11.0832,7.75177,8.2,8.2,D
11.1666,7.73426,8.2,8.2,D
11.25,7.72359,8.2,8.2,D
11.3334,7.7132,8.2,8.2,D
11.4168,7.70371,8.2,8.2,D
11.5002,7.69781,8.2,8.2,D
11.5836,7.69002,8.2,8.2,D
11.667,7.68096,8.2,8.2,D
11.7504,7.67222,8.2,8.2,D
11.8332,7.65906,8.2,8.2,D
11.9166,7.65095,8.2,8.2,D
12,7.63807,8.2,8.2,D
12.0834,7.62483,8.2,8.2,D
12.1668,7.61676,8.2,8.2,D
12.2502,7.608,8.2,8.2,D
12.3336,7.60383,8.2,8.2,D
12.417,7.59757,8.2,8.2,D
12.5004,7.59366,8.2,8.2,D
12.5832,7.5897,8.2,8.2,D
12.6666,7.5865,8.2,8.2,D
12.75,7.57596,8.2,8.2,D
12.8334,7.56877,8.2,8.2,D
12.9168,7.56392,8.2,8.2,D
13.0002,7.55438,8.2,8.2,D
13.0836,7.5483,8.2,8.2,D
13.167,7.54209,8.2,8.2,D
13.2504,7.53695,8.2,8.2,D
13.3332,7.53376,8.2,8.2,D
13.4166,7.5282,8.2,8.2,D
13.5,7.52404,8.2,8.2,D
13.5834,7.51972,8.2,8.2,D
13.6668,7.51992,8.2,8.2,D
13.7502,7.52249,8.2,8.2,D
13.8336,7.52701,8.2,8.2,D
13.917,7.52693,8.2,8.2,D
14.0004,7.52588,8.2,8.2,D
14.0832,7.52726,8.2,8.2,D
14.1666,7.52809,8.2,8.2,D
14.25,7.52869,8.2,8.2,D
14.3334,7.52773,8.2,8.2,D
14.4168,7.52277,8.2,8.2,D
14.5002,7.52463,8.2,8.2,D
14.5836,7.52784,8.2,8.2,D
14.667,7.52924,8.2,8.2,D
14.7504,7.53235,8.2,8.2,D
14.8332,7.53093,8.2,8.2,D
14.9166,7.53085,8.2,8.2,D
15,7.53251,8.2,8.2,D
15.0834,7.5345,8.2,8.2,D
15.1668,7.53154,8.2,8.2,D
15.2502,7.53654,8.2,8.2,D
15.3336,7.5388,8.2,8.2,D
15.417,7.53808,8.2,8.2,D
15.5004,7.53626,8.2,8.2,D
15.5832,7.54141,8.2,8.2,D
15.6666,7.5491,8.2,8.2,D
15.75,7.55258,8.2,8.2,D
15.8334,7.55958,8.2,8.2,D
15.9168,7.56444,8.2,8.2,D
16.0002,7.56989,8.2,8.2,D
16.0836,7.57496,8.2,8.2,D
16.167,7.576,8.2,8.2,D
16.2504,7.57913,8.2,8.2,D
16.3332,7.58094,8.2,8.2,D
16.4166,7.58677,8.2,8.2,D
16.5,7.59483,8.2,8.2,D
16.5834,7.6007,8.2,8.2,D
16.6668,7.60265,8.2,8.2,D
16.7502,7.60151,8.2,8.2,D
16.8336,7.59931,8.2,8.2,D
16.917,7.5955,8.2,8.2,D
17.0004,7.59049,8.2,8.2,D
17.0832,7.58505,8.2,8.2,D
17.1666,7.57803,8.2,8.2,D
17.25,7.56855,8.2,8.2,D
17.3334,7.55976,8.2,8.2,D
17.4168,7.55924,8.2,8.2,D
17.5002,7.55923,8.2,8.2,D
17.5836,7.56119,8.2,8.2,D
17.667,7.5607,8.2,8.2,D
17.7504,7.56354,8.2,8.2,D
17.8332,7.56067,8.2,8.2,D
17.9166,7.56078,8.2,8.2,D
18,7.56238,8.2,8.2,D
18.0834,7.56192,8.2,8.2,D
18.1668,7.56106,8.2,8.2,D
18.2502,7.56136,8.2,8.2,D
18.3336,7.56256,8.2,8.2,D
18.417,7.56722,8.2,8.2,D
18.5004,7.57334,8.2,8.2,D
18.5832,7.5782,8.2,8.2,D
18.6666,7.58228,8.2,8.2,D
18.75,7.59139,8.2,8.2,D
18.8334,7.59806,8.2,8.2,D
18.9168,7.602,8.2,8.2,D
19.0002,7.6045,8.2,8.2,D
19.0836,7.60513,8.2,8.2,D
19.167,7.60508,8.2,8.2,D
19.2504,7.60415,8.2,8.2,D
19.3332,7.6028,8.2,8.2,D
19.4166,7.60209,8.2,8.2,D
19.5,7.60415,8.2,8.2,D
19.5834,7.60609,8.2,8.2,D
19.6668,7.60993,8.2,8.2,D
19.7502,7.61315,8.2,8.2,D
19.8336,7.61709,8.2,8.2,D
19.917,7.62163,8.2,8.2,D
20.0004,7.62393,8.2,8.2,D
20.0832,7.62579,8.2,8.2,D
20.1666,7.62284,8.2,8.2,D
20.25,7.61778,8.2,8.2,D
20.3334,7.61243,8.2,8.2,D
20.4168,7.60824,8.2,8.2,D
20.5002,7.60598,8.2,8.2,D
20.5836,7.60469,8.2,8.2,D
20.667,7.60203,8.2,8.2,D
20.7504,7.59908,8.2,8.2,D
20.8332,7.59933,8.2,8.2,D
20.9166,7.59788,8.2,8.2,D
21,7.60012,8.2,8.2,D
21.0834,7.60079,8.2,8.2,D
21.1668,7.60276,8.2,8.2,D
21.2502,7.60386,8.2,8.2,D
21.3336,7.60613,8.2,8.2,D
21.417,7.60618,8.2,8.2,D
21.5004,7.60621,8.2,8.2,D
21.5832,7.60693,8.2,8.2,D
21.6666,7.60672,8.2,8.2,D
21.75,7.6078,8.2,8.2,D
21.8334,7.60989,8.2,8.2,D
21.9168,7.6113,8.2,8.2,D
22.0002,7.61257,8.2,8.2,D
22.0836,7.61377,8.2,8.2,D
22.167,7.61472,8.2,8.2,D
22.2504,7.61438,8.2,8.2,D
22.3332,7.61767,8.2,8.2,D
22.4166,7.61707,8.2,8.2,D
22.5,7.6142,8.2,8.2,D
22.5834,7.61156,8.2,8.2,D
22.6668,7.60951,8.2,8.2,D
22.7502,7.6093,8.2,8.2,D
22.8336,7.60809,8.2,8.2,D
22.917,7.60903,8.2,8.2,D
23.0004,7.60838,8.2,8.2,D
23.0832,7.60752,8.2,8.2,D
23.1666,7.60758,8.2,8.2,D
23.25,7.60693,8.2,8.2,D
23.3334,7.60765,8.2,8.2,D
23.4168,7.60762,8.2,8.2,D
23.5002,7.60677,8.2,8.2,D
23.5836,7.60787,8.2,8.2,D
23.667,7.60761,8.2,8.2,D
23.7504,7.60767,8.2,8.2,D
23.8332,7.60719,8.2,8.2,D
23.9166,7.60641,8.2,8.2,D
24,7.60673,8.2,8.2,D
24.0834,7.6066,8.2,8.2,D
24.1668,7.60622,8.2,8.2,D
