species,coral,exp,light.dark,treat,water,pH,SD
Mcav,cav1,l/d,dark,7.6,7.6,7.02,0.045
Mcav,cav1,l/d,dark,7.6,7.6,6.89,0.157
Mcav,cav1,l/d,dark,7.6,7.6,6.87,0.022
Mcav,cav1,step,dark,7.6,7.6,7.16,0.044
Mcav,cav1,step,dark,7.6,7.6,7.12,0.047
Mcav,cav1,step,dark,7.6,7.6,7.15,0.066
Mcav,cav1,l/d,dark,7.9,7.9,7.1,0.094
Mcav,cav1,l/d,dark,7.9,7.9,7.14,0.163
Mcav,cav1,l/d,dark,7.9,7.9,7.15,0.055
Mcav,cav1,step,dark,7.9,7.9,7.36,0.068
Mcav,cav1,step,dark,7.9,7.9,7.34,0.043
Mcav,cav1,step,dark,7.9,7.9,7.4,0.035
Mcav,cav1,l/d,dark,8.2,8.2,7.53,0.072
Mcav,cav1,l/d,dark,8.2,8.2,7.04,0.082
Mcav,cav1,l/d,dark,8.2,8.2,7.17,0.059
Mcav,cav1,l/d,dark,8.2,8.2,7.07,0.093
Mcav,cav1,step,dark,8.2,8.2,7.2,0.106
Mcav,cav1,step,dark,8.2,8.2,7.43,0.046
Mcav,cav1,step,dark,8.2,8.2,7.52,0.021
Mcav,cav1,l/d,light,7.6,7.6,8.45,0.119
Mcav,cav1,l/d,light,7.6,7.6,8.39,0.106
Mcav,cav1,l/d,light,7.6,7.6,8.29,0.086
Mcav,cav1,step,light,7.6,7.6,8.52,0.07
Mcav,cav1,step,light,7.6,7.6,8.61,0.053
Mcav,cav1,step,light,7.6,7.6,8.67,0.05
Mcav,cav1,l/d,light,7.9,7.9,8.55,0.029
Mcav,cav1,l/d,light,7.9,7.9,8.4,0.05
Mcav,cav1,l/d,light,7.9,7.9,8.36,0.117
Mcav,cav1,step,light,7.9,7.9,8.69,0.055
Mcav,cav1,step,light,7.9,7.9,8.69,0.069
Mcav,cav1,step,light,7.9,7.9,8.7,0.041
Mcav,cav1,l/d,light,8.2,8.2,8.48,0.124
Mcav,cav1,l/d,light,8.2,8.2,8.49,0.089
Mcav,cav1,l/d,light,8.2,8.2,8.44,0.073
Mcav,cav1,l/d,light,8.2,8.2,8.69,0.078
Mcav,cav1,step,light,8.2,8.2,8.57,0.091
Mcav,cav1,step,light,8.2,8.2,8.72,0.096
Mcav,cav1,step,light,8.2,8.2,8.79,0.057
Mcav,cav2,l/d,dark,7.6,7.6,6.77,0.02
Mcav,cav2,l/d,dark,7.6,7.6,6.97,0.01
Mcav,cav2,l/d,dark,7.6,7.6,6.98,0.025
Mcav,cav2,l/d,dark,7.6,7.6,6.8,0.019
Mcav,cav2,l/d,dark,7.6,7.6,6.84,0.01
Mcav,cav2,l/d,dark,7.6,7.6,6.8,0.02
Mcav,cav2,step,dark,7.6,7.6,7.03,0.01
Mcav,cav2,step,dark,7.6,7.6,7.04,0.128
Mcav,cav2,step,dark,7.6,7.6,6.8,0.053
Mcav,cav2,l/d,dark,7.9,7.9,6.88,0.01
Mcav,cav2,l/d,dark,7.9,7.9,6.8,0.01
Mcav,cav2,l/d,dark,7.9,7.9,7.11,0.04
Mcav,cav2,l/d,dark,7.9,7.9,6.99,0.02
Mcav,cav2,l/d,dark,7.9,7.9,7.05,0.02
Mcav,cav2,l/d,dark,7.9,7.9,7,0.03
Mcav,cav2,step,dark,7.9,7.9,7.1,0.025
Mcav,cav2,step,dark,7.9,7.9,7.03,0.041
Mcav,cav2,step,dark,7.9,7.9,6.89,0.148
Mcav,cav2,l/d,dark,8.2,8.2,7.36,0.13
Mcav,cav2,l/d,dark,8.2,8.2,7.19,0.05
Mcav,cav2,l/d,dark,8.2,8.2,6.9,0.008
Mcav,cav2,l/d,dark,8.2,8.2,6.94,0.09
Mcav,cav2,l/d,dark,8.2,8.2,7.19,0.02
