date,coral,pH_treat,pHt,TAi,I.SD,TAf,F.SD,delTA,vol,time,pHw,sal,temp,DICi,DICf,HCO3i,HCO3f,CO3i,CO3f,ALKi,ALKf,pCO2i,pCO2f,aragi,aragf
7/18/14,DAXI,7.6pH,7.6pH,2371.225,4.99824969,2356.775,8.77130739,14.45,136.036,60,7.68,35,27,2217.82402,2204.00712,2058.70405,2045.87845,130.370848,129.558645,2371.225,2356.775,1067.34497,1060.69545,2.08918085,2.07616539
7/19/14,DAXI,7.6pH,7.6pH,2353.075,4.33387817,2286.55,7.1430619,66.525,135.979,92,7.69,35,27,2196.05411,2132.54174,2036.3087,1977.41636,131.956318,128.139992,2353.075,2286.55,1031.70242,1001.86432,2.11458787,2.0534316
10/2/14,DAXI,7.6pH,7.6pH,2372.7,1.90613046,2318.575,4.34079486,54.125,136.252,136.252,7.7,35,27,2210.29982,2158.70635,2047.24246,1999.45513,135.755006,132.586172,2372.7,2318.575,1013.63147,989.970904,2.17546149,2.12468123
9/30/14,DAXI,7.6pH,7.6pH,2379.55,4.92510575,2304.975,2.91590466,74.575,125.165,82,7.67,35,27,2230.1928,2158.77629,2072.33262,2005.9712,128.246652,124.139864,2379.55,2304.975,1099.43714,1064.2302,2.05514081,1.98932991
10/1/14,DAXI,7.6pH,7.6pH,2379.075,4.61979437,2281.975,5.08224032,97.1,130.367,87,7.7,35,27,2216.37665,2123.81821,2052.871,1967.14074,136.12824,130.443368,2379.075,2281.975,1016.41828,973.971336,2.18144254,2.09034299
10/3/14,DAXI,7.6pH,7.6pH,2373.9,1.52534149,2269.225,6.23718687,104.675,133.451,92,7.69,35,27,2215.93604,2116.00132,2054.74438,1962.07911,133.150981,127.146112,2373.9,2269.225,1041.04295,994.093627,2.13373224,2.03750477
7/17/14,DAXI,7.9pH,7.9pH,2369.275,2.62852937,2253.575,6.3421211,115.7,138.404,94,7.95,35,27,2077.19336,1971.83097,1845.7063,1752.08573,217.645236,206.605522,2369.275,2253.575,513.892901,487.82644,3.48774492,3.3108345
7/18/14,DAXI,7.9pH,7.9pH,2371.125,4.03267901,2276.55,4.69645256,94.575,136.664,87,7.95,35,27,2078.87807,1992.75319,1847.20326,1770.67633,217.821757,208.797721,2371.125,2276.55,514.309694,493.002558,3.49057365,3.34596429
10/1/14,DAXI,7.9pH,7.9pH,2379.05,4.38976081,2317.425,5.95392028,61.625,130.623,130.623,7.96,35,27,2080.09419,2024.09576,1844.06295,1794.41873,222.516547,216.526155,2379.05,2317.425,501.74811,488.240471,3.56580722,3.46981174
10/2/14,DAXI,7.9pH,7.9pH,2375.95,3.7863791,2288.675,2.44863908,87.275,130.435,87,7.98,35,27,2065.09343,1986.13375,1822.11092,1752.44177,230.229718,221.426791,2375.95,2288.675,473.461609,455.358583,3.68941007,3.54834399
7/21/14,DAXI,7.9pH,7.9pH,2367.6,5.19551088,2320.825,3.00041664,46.775,137.952,83,7.95,35,27,2075.66802,2033.07229,1844.35095,1806.50218,217.485413,213.022296,2367.6,2320.825,513.515534,502.977429,3.48518377,3.41366272
7/22/14,DAXI,7.9pH,7.9pH,2377.675,3.88619351,2215.775,1.77458915,161.9,137.555,116,7.98,35,27,2066.65408,1920.17946,1823.48794,1694.24778,230.403708,214.073788,2377.675,2215.775,473.819417,440.237295,3.69219826,3.43051279
7/16/14,DAXI,8.2pH,8.2pH,2379.375,3.24178449,2270.875,4.53311887,108.5,151.32,97,8.24,35,27,1886.60089,1794.90369,1529.13328,1454.81059,351.586273,334.497615,2379.375,2270.875,218.350856,207.738025,5.63413772,5.36029355
7/17/14,DAXI,8.2pH,8.2pH,2371.225,5.5781568,2274.875,5.33002502,96.35,143.737,92,8.16,35,27,1939.77226,1856.42836,1622.06274,1552.3695,310.208876,296.880499,2371.225,2274.875,278.469287,266.504616,4.97106873,4.75748271
7/20/14,DAXI,8.2pH,8.2pH,2383.35,6.08303652,2292.7,4.712395,90.65,137.814,82,8.23,35,27,1897.68649,1820.8434,1544.55837,1482.01451,347.049079,332.996008,2383.35,2292.7,225.690822,216.551908,5.56142961,5.33623044
7/21/14,DAXI,8.2pH,8.2pH,2378.775,3.10845621,2238.175,1.22304265,140.6,130.76,89,8.24,35,27,1886.09381,1767.26775,1528.72228,1432.41104,351.491773,329.347393,2378.775,2238.175,218.292168,204.539503,5.63262337,5.27776171
9/29/14,DAXI,8.2pH,8.2pH,2382.025,4.77589433,2290.35,3.47610894,91.675,134.303,95,8.2,35,27,1919.41707,1841.01335,1581.18365,1516.59597,331.565156,318.021491,2382.025,2290.35,247.566524,237.453999,5.31330116,5.09626518
10/2/14,DAXI,8.2pH,8.2pH,2386.225,4.62051584,2267.225,3.63168923,119,131.217,100,8.25,35,27,1884.60599,1784.3411,1521.02174,1440.10028,357.867279,338.82801,2386.225,2267.225,212.248667,200.956596,5.73479027,5.42968772
7/16/14,DAXI,8.2pHc,8.2pH,2364.525,3.73217988,2261.075,5.07764709,103.45,149.81,95,8.24,35,27,1874.05062,1786.62136,1518.961,1448.09758,349.24741,332.954123,2364.525,2261.075,216.898317,206.779446,5.59665766,5.33555923
9/30/14,DAXI,8.2pH,8.2pH,2386.475,3.77038902,2279.125,2.86865241,107.35,131.69,83,8.27,35,27,1869.10067,1779.21013,1495.32987,1423.41507,368.403357,350.685758,2386.475,2279.125,199.272119,189.688531,5.90362995,5.61970706
10/1/14,DAXI,8.2pH,8.2pH,2384.225,4.80789282,2297.875,4.0901304,86.35,134.708,86,8.24,35,27,1890.69979,1817.72234,1532.45554,1473.30564,352.350144,338.750092,2384.225,2297.875,218.825255,210.379006,5.64637868,5.4284391
7/17/14,DAXI,8.2pHc,8.2pH,2372.575,4.85892649,2252.5,1.07082523,120.075,138.04,91,8.23,35,27,1888.55263,1786.76627,1537.12417,1454.27857,345.378679,326.763979,2372.575,2252.5,224.604536,212.49913,5.53466159,5.23636275
7/18/14,DAXI,8.2pHc,8.2pH,2384.225,2.60048072,2282.675,2.57471681,101.55,142.229,102,8.23,35,27,1898.42822,1812.34531,1545.16208,1475.09778,347.184727,331.441877,2384.225,2282.675,225.779035,215.541234,5.56360335,5.31132562
7/20/14,DAXI,8.2pHc,8.2pH,2369.9,2.57811301,2278.1,5.68858506,91.8,131.099,90,8.25,35,27,1870.85116,1793.50397,1509.92054,1447.49541,355.255379,340.567943,2369.9,2278.1,210.699566,201.98854,5.69293482,5.45756999
7/21/14,DAXI,8.2pHc,8.2pH,2375.875,2.53294953,2254.575,1.89978069,121.3,145.846,100,8.22,35,27,1899.00555,1795.87327,1551.97684,1467.69119,340.778201,322.271023,2375.875,2254.575,232.057076,219.454378,5.46093936,5.16436354
9/29/14,DAXI,8.2pHc,8.2pH,2379.5,3.7103459,2258.05,2.91032644,121.45,121.493,93,8.29,35,27,1847.39456,1746.33782,1464.54931,1384.43509,377.824893,357.157002,2379.5,2258.05,186.386094,176.190339,6.05460919,5.72340814
9/30/14,DAXI,8.2pHc,8.2pH,2383.825,2.13600094,2273.575,4.64713173,110.25,135.795,95,8.27,35,27,1866.88167,1774.56279,1493.55461,1419.69707,367.965987,349.769758,2383.825,2273.575,199.035542,189.193059,5.89662114,5.60502823
