time,gvc,water
0,8.47516,7.6
0.0834,8.4806,7.6
0.1668,8.48694,7.6
0.2502,8.48706,7.6
0.3336,8.48655,7.6
0.417,8.48928,7.6
0.4998,8.48799,7.6
0.5832,8.48808,7.6
0.6666,8.48748,7.6
0.75,8.49205,7.6
0.8334,8.49489,7.6
0.9168,8.50049,7.6
1.0002,8.50125,7.6
1.0836,8.50322,7.6
1.167,8.50161,7.6
1.2498,8.50271,7.6
1.3332,8.50265,7.6
1.4166,8.5079,7.6
1.5,8.51366,7.6
1.5834,8.51258,7.6
1.6668,8.5163,7.6
1.7502,8.51402,7.6
1.8336,8.51194,7.6
1.9164,8.49644,7.6
1.9998,8.48664,7.6
2.0832,8.48629,7.6
2.1666,8.48981,7.6
2.25,8.49332,7.6
2.3334,8.49375,7.6
2.4168,8.49547,7.6
2.5002,8.49201,7.6
2.5836,8.49301,7.6
2.6664,8.493,7.6
2.7498,8.49394,7.6
2.8332,8.49565,7.6
2.9166,8.50056,7.6
3,8.50164,7.6
3.0834,8.50282,7.6
3.1668,8.5035,7.6
3.2502,8.4982,7.6
3.3336,8.49745,7.6
3.417,8.49789,7.6
3.4998,8.49588,7.6
3.5832,8.49998,7.6
3.6666,8.50209,7.6
3.75,8.50371,7.6
3.8334,8.50612,7.6
3.9168,8.51044,7.6
4.0002,8.51757,7.6
4.0836,8.51766,7.6
4.1664,8.52031,7.6
4.2498,8.52467,7.6
4.3332,8.5304,7.6
4.4166,8.53843,7.6
4.5,8.54282,7.6
4.5834,8.53767,7.6
4.6668,8.50603,7.6
4.7502,8.47392,7.6
4.8336,8.46379,7.6
4.9164,8.46162,7.6
4.9998,8.45953,7.6
5.0832,8.45893,7.6
5.1666,8.45806,7.6
5.25,8.4546,7.6
5.3334,8.45311,7.6
5.4168,8.45433,7.6
5.5002,8.46659,7.6
5.5836,8.47726,7.6
5.667,8.47961,7.6
5.7498,8.48109,7.6
5.8332,8.47738,7.6
5.9166,8.47535,7.6
6,8.46992,7.6
6.0834,8.46955,7.6
6.1668,8.46861,7.6
6.2502,8.46764,7.6
6.3336,8.46735,7.6
6.417,8.46751,7.6
6.4998,8.46875,7.6
6.5832,8.47004,7.6
6.6666,8.47238,7.6
6.75,8.47241,7.6
6.8334,8.47857,7.6
6.9168,8.47652,7.6
7.0002,8.48089,7.6
7.0836,8.48319,7.6
7.1664,8.48831,7.6
7.2498,8.49015,7.6
7.3332,8.49375,7.6
7.4166,8.496,7.6
7.5,8.49947,7.6
7.5834,8.50343,7.6
7.6668,8.50489,7.6
7.7502,8.51035,7.6
7.8336,8.50097,7.6
7.9164,8.47473,7.6
7.9998,8.44561,7.6
8.0832,8.41277,7.6
8.1666,8.40271,7.6
8.25,8.39516,7.6
8.3334,8.397,7.6
8.4168,8.40736,7.6
8.5002,8.40654,7.6
8.5836,8.40416,7.6
8.667,8.39184,7.6
8.7498,8.38919,7.6
8.8332,8.38435,7.6
8.9166,8.38509,7.6
9,8.38258,7.6
9.0834,8.37997,7.6
9.1668,8.38211,7.6
9.2502,8.38387,7.6
9.3336,8.39247,7.6
9.417,8.39399,7.6
